Payment Type,Transaction Time,Settlement Time,Order,Customer Email,Credit Card Number Mask,Refund Amount,Amount,3D Secure,Card Association,Acquiring Bank,Bank On Us/ Off Us,Transaction Fee,Merchant Has,Refund,Payment Options,Coins Share,Transaction ID,TREF ID
cstore,"Jun 08 2023, 17:38","Jun 08 2023, 17:39",9a9ef7a4-a25a-45fe-ac1d-be9508970a35,,,0.0,449000.0,No Auth,,alfamart,,5000.0,444000.0,false,,,e444b6df-7c2d-4106-983b-569c0cd0b009,
cstore,"Jun 08 2023, 18:39","Jun 08 2023, 18:46",a67cb15e-b392-43ef-89b9-f5e4e288c2f6,,,0.0,833784.0,No Auth,,alfamart,,5000.0,828784.0,false,,,582a6d59-2636-4bf4-95c0-ea76050d783a,
cstore,"Jun 08 2023, 17:56","Jun 08 2023, 19:30",7188b265-3edd-4e96-98ac-80ea58d04213,,,0.0,427917.0,No Auth,,alfamart,,5000.0,422917.0,false,,,074b0ead-83ef-40e6-bd39-e9f45e144657,
cstore,"Jun 08 2023, 18:49","Jun 08 2023, 19:33",823d45d0-619f-43b3-96d0-0d7f28127a92,,,0.0,852251.0,No Auth,,alfamart,,5000.0,847251.0,false,,,91e3ffea-609c-4cee-8763-642e276ca5c6,
cstore,"Jun 08 2023, 19:06","Jun 08 2023, 19:34",ae662f0d-67bd-4c4f-a57a-3d1033106997,,,0.0,458750.0,No Auth,,alfamart,,5000.0,453750.0,false,,,61876268-f879-4577-b69e-1597b4e78dbb,
cstore,"Jun 08 2023, 19:01","Jun 08 2023, 19:34",7a086ed2-d97b-44fb-9557-afb96c62750e,,,0.0,833784.0,No Auth,,alfamart,,5000.0,828784.0,false,,,de98c10a-26ce-4405-b823-0d05c108dd27,
cstore,"Jun 08 2023, 19:08","Jun 08 2023, 19:44",b7ea2e21-59ce-4a49-abe8-862276fd924e,,,0.0,612411.0,No Auth,,alfamart,,5000.0,607411.0,false,,,e6825008-963c-4262-a190-04511c81c783,
cstore,"Jun 08 2023, 19:46","Jun 08 2023, 19:51",9754ba19-ea98-4db5-ade8-8d2170842fde,,,0.0,355000.0,No Auth,,alfamart,,5000.0,350000.0,false,,,dba2c685-e50f-4057-a442-a4a438a2c978,
cstore,"Jun 08 2023, 20:13","Jun 08 2023, 20:17",add2ac87-4eb2-4682-894d-2da74d9cda56,,,0.0,759918.0,No Auth,,alfamart,,5000.0,754918.0,false,,,79fa4c2e-79bf-4120-bcb8-775b1d35a1e1,
qris,"Jun 10 2023, 00:24","Jun 10 2023, 00:26",0ded7457-c2b5-415e-b980-65b00d05f482,"",,0.0,381321.0,No Auth,,gopay,On us,2669.246999999999618679,378651.753000000000381321,false,GOPAY_WALLET,,d60a089a-d235-4ddb-931b-7ff1555c95ae,VHKAID
qris,"Jun 10 2023, 08:23","Jun 10 2023, 08:25",621e05e5-fd3b-4e3f-9225-65ae1e969f68,"",,0.0,382416.0,No Auth,,gopay,On us,2676.911999999999617584,379739.088000000000382416,false,GOPAY_WALLET,,95f6a70d-24d5-46e8-a4b1-362bd6ff1a29,RGQ2ID
qris,"Jun 10 2023, 10:54","Jun 10 2023, 10:56",5be08994-3498-44a2-8c35-fdfa07ff68c7,"",,0.0,1063656.0,No Auth,,gopay,On us,7445.591999999998936344,1056210.408000000001063656,false,GOPAY_WALLET,,8f6cfb1c-4daa-41ed-b7ee-8a0db170c832,HFUVID
qris,"Jun 10 2023, 11:20","Jun 10 2023, 11:21",4d8615b5-a7cc-47df-86c5-c2a125ad79a0,"",,0.0,969079.0,No Auth,,gopay,On us,6783.552999999999030921,962295.447000000000969079,false,GOPAY_WALLET,,c80324ae-f275-48b4-b688-ee2bddbb4de2,8PTBID
shopeepay,"Jun 10 2023, 08:11","Jun 10 2023, 08:11",8c27506e-0c05-4ca7-99f4-52226bd1da1f,,,0.0,213097.0,No Auth,,shopeepay,,3196.455,209900.545,false,,,80ee7033-1d8c-44be-947d-3d7ce7786568,
shopeepay,"Jun 10 2023, 08:29","Jun 10 2023, 08:30",3fa3336d-50bf-4f0e-9a3f-97a0078a0b78,,,0.0,916191.0,No Auth,,shopeepay,,13742.865,902448.135,false,,,e8ab291b-c92d-4280-92d3-f4c0d5e5cc0f,
