Order,Payment Type,Transaction Time,Settlement Time,Refund Amount,Amount,Acquiring Bank,Transaction Fee,Merchant Has,Refund,Payment Options
5be08994-3498-44a2-8c35-fdfa07ff68c7,qris,"Jun 10 2023, 10:54","Jun 10 2023, 10:56",0.0,1063656.0,gopay,7445.592,1056210.408,False,GOPAY_WALLET
4d8615b5-a7cc-47df-86c5-c2a125ad79a0,qris,"Jun 10 2023, 11:20","Jun 10 2023, 11:21",0.0,969079.0,gopay,6783.552999999999,962295.447,False,GOPAY_WALLET
8c27506e-0c05-4ca7-99f4-52226bd1da1f,shopeepay,"Jun 10 2023, 08:11","Jun 10 2023, 08:11",0.0,213097.0,shopeepay,3196.455,209900.545,False,
3fa3336d-50bf-4f0e-9a3f-97a0078a0b78,shopeepay,"Jun 10 2023, 08:29","Jun 10 2023, 08:30",0.0,916191.0,shopeepay,13742.865,902448.135,False,
f4e0c290-81a8-4fc7-84d1-641bf1063f67,shopeepay,"Jun 10 2023, 09:05","Jun 10 2023, 09:05",0.0,640686.0,shopeepay,9610.29,631075.71,False,
b42bd10b-1ee0-4513-a735-496214005b27,shopeepay,"Jun 10 2023, 09:30","Jun 10 2023, 09:30",0.0,1009909.0,shopeepay,15148.635,994760.365,False,
34ad956c-090e-4955-9cce-a45b9f48677c,shopeepay,"Jun 10 2023, 13:01","Jun 10 2023, 13:01",0.0,243600.0,shopeepay,3654.0,239946.0,False,
2a14fa0d-7779-4666-bb21-253f29203fa2,shopeepay,"Jun 10 2023, 14:39","Jun 10 2023, 14:40",0.0,253666.0,shopeepay,3804.99,249861.01,False,
bd46133a-fb47-47a1-a5e7-c7f4a2d9e458,shopeepay,"Jun 10 2023, 14:42","Jun 10 2023, 14:42",0.0,253750.0,shopeepay,3806.25,249943.75,False,
c5bf7948-fee0-468f-8964-2721fa1ee3b1,shopeepay,"Jun 10 2023, 16:55","Jun 10 2023, 16:55",0.0,640090.0,shopeepay,9601.35,630488.65,False,
b90564e4-2b37-4067-a200-6f567cb27703,shopeepay,"Jun 10 2023, 18:14","Jun 10 2023, 18:14",0.0,472822.0,shopeepay,7092.33,465729.67,False,
edad8a07-0f76-4482-8fab-d866da151a9d,shopeepay,"Jun 10 2023, 18:27","Jun 10 2023, 18:28",0.0,831285.0,shopeepay,12469.275,818815.725,False,
b73fc709-9054-4b4e-a4cf-3316353cc446,shopeepay,"Jun 10 2023, 19:13","Jun 10 2023, 19:14",0.0,346697.0,shopeepay,5200.455,341496.545,False,
0319bd55-586c-4abd-8f16-199958dba52e,shopeepay,"Jun 10 2023, 21:35","Jun 10 2023, 21:36",0.0,208075.0,shopeepay,3121.125,204953.875,False,
8d3e3ac7-ad73-4049-a0a3-3a405ea7c273,shopeepay,"Jun 10 2023, 22:13","Jun 10 2023, 22:14",0.0,10150.0,shopeepay,152.25,9997.75,False,
c1909375-21c9-4b38-bdcd-b6a82eb90483,shopeepay,"Jun 10 2023, 22:14","Jun 10 2023, 22:15",0.0,10150.0,shopeepay,152.25,9997.75,False,
ce0926af-8ae1-4bba-ab38-c405ba67516c,shopeepay,"Jun 10 2023, 22:43","Jun 10 2023, 22:43",0.0,243600.0,shopeepay,3654.0,239946.0,False,
404b6beb-bad8-4680-982f-efa352e1d9c7,shopeepay,"Jun 10 2023, 23:11","Jun 10 2023, 23:11",0.0,1294205.0,shopeepay,19413.075,1274791.925,False,
399fd679-d44a-4736-99b7-2faeeac0dc6d,qris,"Jun 10 2023, 13:04","Jun 10 2023, 13:05",0.0,230996.0,airpay shopee,1616.9719999999995,229379.028,False,
3fcca731-af54-42f3-929c-617a5aeb1d22,qris,"Jun 10 2023, 23:54","Jun 10 2023, 23:57",0.0,561814.0,airpay shopee,3932.698,557881.302,False,
4798e76b-78f9-47db-bb58-9c89050be565,qris,"Jun 10 2023, 23:58","Jun 10 2023, 23:59",0.0,561814.0,airpay shopee,3932.698,557881.302,False,
a374889b-c5fb-40fa-917d-03089b02ab03,gopay,"Jun 11 2023, 06:37","Jun 11 2023, 06:37",0.0,1439051.0,gojek,28781.02,1410269.98,False,GOPAY_WALLET
373a4ef0-e1df-4a8c-b5d5-fcc65c2d54b0,gopay,"Jun 11 2023, 06:38","Jun 11 2023, 06:38",0.0,2776102.0,gojek,55522.04,2720579.96,False,GOPAY_WALLET
ef3a0895-8163-45ea-8980-784c955eff18,gopay,"Jun 11 2023, 07:47","Jun 11 2023, 07:47",0.0,850000.0,gojek,17000.0,833000.0,False,GOPAY_WALLET
558f7629-555e-4407-be7f-b7c443f29edd,gopay,"Jun 11 2023, 21:52","Jun 11 2023, 21:52",0.0,603501.0,gojek,12070.02,591430.98,False,GOPAY_WALLET
ea95ecc4-b9a8-4a79-ab48-1384ff5711b2,bank_transfer,"Jun 12 2023, 00:38","Jun 12 2023, 00:47",0.0,1576089.0,bni,3850.0,1572239.0,False,
d46666a6-27fc-4800-a260-b02d76f04559,bank_transfer,"Jun 12 2023, 02:25","Jun 12 2023, 02:26",0.0,100000.0,bni,3850.0,96150.0,False,
f361697b-d944-48d0-b64c-4b1ccbd4a781,bank_transfer,"Jun 12 2023, 02:27","Jun 12 2023, 02:28",0.0,100000.0,bni,3850.0,96150.0,False,
da27aab1-ebf0-4bf8-b5ee-620ea294cb36,bank_transfer,"Jun 12 2023, 06:34","Jun 12 2023, 06:35",0.0,1616335.0,bni,3850.0,1612485.0,False,
ee45c505-4937-4563-a50a-13196902adca,bank_transfer,"Jun 12 2023, 06:39","Jun 12 2023, 06:43",0.0,1041667.0,bni,3850.0,1037817.0,False,
9f86b0d2-67b7-492f-9f44-522210e1c3e4,bank_transfer,"Jun 12 2023, 06:45","Jun 12 2023, 06:46",0.0,1625000.0,bni,3850.0,1621150.0,False,
9344bf08-c789-42a9-8c3d-3c8a88a531e4,bank_transfer,"Jun 12 2023, 07:35","Jun 12 2023, 07:40",0.0,1220084.0,bni,3850.0,1216234.0,False,
29cc9fa9-7e8a-48b1-ba37-d8efbb0500d9,bank_transfer,"Jun 12 2023, 08:57","Jun 12 2023, 09:02",0.0,653351.0,bni,3850.0,649501.0,False,
8e11e788-d071-4428-9708-550126b140e2,bank_transfer,"Jun 12 2023, 11:12","Jun 12 2023, 11:13",0.0,240000.0,bni,3850.0,236150.0,False,
032c4d6d-c9ca-41bc-940f-35690fa33656,bank_transfer,"Jun 12 2023, 11:40","Jun 12 2023, 11:41",0.0,1140000.0,bni,3850.0,1136150.0,False,
2c4d3e4a-d079-488e-aaca-dd78f60a118b,bank_transfer,"Jun 12 2023, 12:24","Jun 12 2023, 12:25",0.0,591475.0,bni,3850.0,587625.0,False,
78fb11cf-eab5-4126-8cd0-c6c23a2cea73,bank_transfer,"Jun 12 2023, 12:24","Jun 12 2023, 12:27",0.0,1616335.0,bni,3850.0,1612485.0,False,
c1a4d5fa-1d54-4d8c-9a6e-69a097d8f521,bank_transfer,"Jun 12 2023, 12:53","Jun 12 2023, 12:55",0.0,1149500.0,bni,3850.0,1145650.0,False,
bd7e85e9-0565-44e8-8aed-15f31bae2194,bank_transfer,"Jun 12 2023, 12:55","Jun 12 2023, 12:56",0.0,2500000.0,bni,3850.0,2496150.0,False,
9b803f97-05c8-4447-82f0-d714e6d2331f,bank_transfer,"Jun 12 2023, 13:08","Jun 12 2023, 13:10",0.0,539250.0,bni,3850.0,535400.0,False,
d46f5714-71f3-4d79-a3fd-22d091884425,bank_transfer,"Jun 12 2023, 13:56","Jun 12 2023, 13:57",0.0,2000000.0,bni,3850.0,1996150.0,False,
fec439f2-79cb-40ba-8f01-47488833dcd4,bank_transfer,"Jun 12 2023, 13:59","Jun 12 2023, 14:00",0.0,1366667.0,bni,3850.0,1362817.0,False,
4d2e4c71-dbb5-43a2-8639-a30dca5eabf8,bank_transfer,"Jun 12 2023, 14:19","Jun 12 2023, 14:24",0.0,350000.0,bni,3850.0,346150.0,False,
5c0a687a-ec6e-4b21-9e21-bcb075406314,bank_transfer,"Jun 12 2023, 16:12","Jun 12 2023, 16:13",0.0,1491000.0,bni,3850.0,1487150.0,False,
a1626f82-dc60-4005-84d5-09431a055c0a,bank_transfer,"Jun 12 2023, 18:13","Jun 12 2023, 18:14",0.0,630209.0,bni,3850.0,626359.0,False,
60ef79e4-acbe-41c7-8654-12bd5f127d37,bank_transfer,"Jun 12 2023, 18:39","Jun 12 2023, 18:39",0.0,1772800.0,bni,3850.0,1768950.0,False,
0e8557ac-ea77-4aaa-af21-6f9d5b58ba9e,bank_transfer,"Jun 12 2023, 18:53","Jun 12 2023, 19:06",0.0,426021.0,bni,3850.0,422171.0,False,
2399afe8-cb45-4966-a237-cb2111293d7f,bank_transfer,"Jun 12 2023, 20:18","Jun 12 2023, 20:19",0.0,639135.0,bni,3850.0,635285.0,False,
